months_programming,hours_learning_per_week,num_learning_resources,attended_bootcamp,is_under_employed,is_ethnic_minority,has_degree,is_high_income_country,log_expected_earning,paid_contributor,gender_clean,age_group,age_numeric
4.0,40.0,0.0,1,0,1,1,1,11.156264806643742,0,woman,young,24.0
3.0,6.0,0.0,0,1,0,1,0,10.633472802314019,0,man,experienced,39.0
3.0,2.0,0.0,0,0,0,1,0,6.2166061010848646,0,woman,young,23.0
12.0,15.0,0.0,0,0,0,1,1,10.596659732783579,0,woman,young,31.0
18.0,40.0,0.0,0,1,0,0,1,10.633472802314019,0,woman,experienced,43.0
1.0,20.0,0.0,0,0,1,0,1,11.608244735642321,0,woman,experienced,50.0
41.0,3.0,0.0,0,1,0,1,0,10.633472802314019,1,woman,young,28.0
11.0,20.0,0.0,0,0,0,0,1,10.633472802314019,1,man,young,27.0
28.0,3.0,0.0,0,1,1,0,1,11.082157933374816,0,man,experienced,35.0
12.0,5.0,0.0,0,1,0,0,1,10.633472802314019,0,woman,experienced,35.0
1.0,7.0,0.0,0,0,0,0,0,5.707110264748875,0,man,young,19.0
50.0,20.0,0.0,0,1,0,1,0,10.633472802314019,1,man,young,28.0
3.0,25.0,0.0,0,0,0,1,0,10.633472802314019,0,man,young,34.0
2.0,3.0,0.0,0,1,1,1,1,10.915106645867503,0,woman,young,
2.0,45.0,0.0,0,0,0,1,0,10.633472802314019,0,woman,young,24.0
60.0,35.0,0.0,0,0,1,0,1,10.633472802314019,0,man,young,22.0
5.0,10.0,0.0,0,1,1,0,1,10.308985993422082,0,woman,young,21.0
12.0,35.0,0.0,0,0,0,1,0,10.596659732783579,0,man,young,29.0
12.0,60.0,0.0,0,0,0,1,0,10.633472802314019,0,man,young,21.0
1.0,5.0,0.0,0,0,0,0,1,10.633472802314019,0,woman,experienced,51.0
9.0,3.0,0.0,0,0,1,1,1,10.633472802314019,1,man,young,29.0
17.0,10.0,0.0,0,0,1,1,1,10.633472802314019,1,man,experienced,40.0
24.0,20.0,0.0,1,0,0,1,1,10.633472802314019,1,man,young,28.0
26.0,40.0,0.0,0,0,1,1,0,10.633472802314019,0,man,young,21.0
2.0,5.0,0.0,0,0,0,1,0,10.633472802314019,0,woman,young,24.0
60.0,10.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,28.0
60.0,24.0,0.0,0,0,1,1,1,10.633472802314019,1,man,young,27.0
45.0,3.0,0.0,1,0,0,1,1,10.633472802314019,1,man,young,33.0
24.0,7.0,0.0,0,0,0,0,0,9.003316202541857,0,man,young,19.0
40.0,40.0,0.0,0,0,0,1,1,11.918397239722838,0,woman,young,25.0
7.0,5.0,0.0,0,0,1,0,1,9.105090961257085,0,man,young,20.0
5.0,2.0,0.0,0,0,1,1,1,10.633472802314019,0,woman,experienced,37.0
1.0,2.0,0.0,0,0,1,1,1,10.633472802314019,0,man,young,24.0
12.0,4.0,0.0,0,0,0,0,0,11.082157933374816,0,man,young,20.0
12.0,10.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,19.0
24.0,30.0,0.0,0,0,0,0,1,10.633472802314019,1,woman,experienced,43.0
3.0,20.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,21.0
6.0,5.0,0.0,0,0,0,0,1,10.633472802314019,0,man,young,16.0
14.0,10.0,0.0,0,0,1,0,1,10.373522431293592,0,man,young,30.0
24.0,20.0,0.0,0,1,1,1,0,10.633472802314019,1,man,young,23.0
24.0,2.0,0.0,0,0,0,1,1,11.002116507732017,0,woman,young,34.0
24.0,30.0,0.0,0,0,1,1,1,10.596659732783579,0,woman,experienced,55.0
1.0,3.0,0.0,0,1,1,1,1,11.082157933374816,0,woman,young,28.0
2.0,30.0,0.0,0,1,1,1,1,10.714439990727769,0,woman,young,25.0
4.0,30.0,0.0,0,1,0,1,1,10.633472802314019,0,man,young,30.0
100.0,3.0,0.0,0,0,0,0,0,10.633472802314019,1,woman,experienced,35.0
0.0,0.0,0.0,0,1,0,0,0,8.294299608857235,0,man,young,23.0
48.0,12.0,0.0,0,1,0,1,0,10.633472802314019,1,man,young,23.0
36.0,10.0,0.0,1,0,0,1,1,10.633472802314019,1,man,experienced,40.0
18.0,10.0,0.0,0,0,0,1,1,10.633472802314019,0,man,experienced,55.0
18.0,25.0,0.0,0,0,1,1,1,10.633472802314019,1,woman,young,24.0
3.0,12.0,0.0,0,1,0,1,1,9.980494888896912,0,man,young,32.0
1.0,5.0,0.0,0,0,1,1,1,10.633472802314019,0,man,young,30.0
36.0,35.0,0.0,0,0,0,0,1,10.596659732783579,0,man,young,23.0
