ed_level_enc,is_employed,is_remote,is_student,years_code,years_code_pro,devtype_developer_full_stack,devtype_developer_back_end,devtype_developer_front_end,devtype_developer_mobile,devtype_data_scientist_or_machine_learning_specialist,devtype_devops_specialist,devtype_engineering_manager,devtype_data_engineer,devtype_developer_desktop_or_enterprise_applications,devtype_security_professional,above_median_salary,ConvertedCompYearly,age_group,age_exp_pro,age_exp_total,exp_pro_bracket,exp_total_bracket
1.0,1,0,1,3.0,1.0,0,0,0,0,1,0,0,0,0,0,0,7322.0,young,young_junior,young_junior,junior,junior
6.0,1,0,0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,30074.0,young,young_mid,young_mid,mid,mid
5.0,1,1,0,15.0,6.0,0,0,0,0,1,0,0,0,0,0,1,91295.0,experienced,experienced_mid,experienced_senior,mid,senior
5.0,1,1,0,27.0,17.0,0,1,0,0,0,0,0,0,0,0,0,53703.0,experienced,experienced_senior,experienced_senior,senior,senior
2.0,1,1,1,7.0,7.0,0,0,0,0,0,0,0,0,0,0,1,110000.0,young,young_mid,young_mid,mid,mid
6.0,1,0,0,32.0,18.0,0,0,0,0,0,0,1,0,0,0,1,161044.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,1,0,32.0,25.0,0,0,0,0,0,0,0,0,0,0,1,121018.0,experienced,experienced_senior,experienced_senior,senior,senior
2.0,1,1,0,38.0,30.0,1,0,0,0,0,0,0,0,0,0,1,195000.0,experienced,experienced_senior,experienced_senior,senior,senior
2.0,1,1,0,23.0,20.0,1,0,0,0,0,0,0,0,0,0,0,44586.0,experienced,experienced_senior,experienced_senior,senior,senior
6.0,1,0,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,57999.0,experienced,experienced_senior,experienced_senior,senior,senior
4.0,1,1,0,30.0,27.0,0,1,0,0,0,0,0,0,0,0,1,184712.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,1,0,21.0,16.0,1,0,0,0,0,0,0,0,0,0,1,79481.0,experienced,experienced_senior,experienced_senior,senior,senior
